player_id,handle,first_name,last_name,total_games_played,most_played_agent_type,most_played_agent_name,average_kpr,average_dpr,total_kills_2024,total_multikills,total_clutches,total_first_bloods,average_headshot_ratio,average_damage_per_round,region
111878438094431890,GuanG,honglin,guang,9,Sentinels,Killjoy,0.779,0.692,169,51,0,28,0.348,42.774,CN
111878438217977756,cb,Qingchuan,Wang,9,Initiators,Fade,0.672,0.702,143,43,2,16,0.288,39.15,CN
111878438161627304,o0o0o,XIAODONG,YE,9,Controllers,Viper,0.536,0.727,113,28,1,12,0.264,26.728,CN
112648701577993519,Ezeir,ZEJUN,ZHAO,9,Controllers,Omen,0.66,0.674,137,40,0,10,0.239,37.311,CN
108216307152890819,Swerl,Swerl,Swerl,9,Duelists,Raze,0.772,0.784,161,50,1,28,0.196,37.676,CN
109636687572182162,Wailers,Wailers,Locart,28,Controllers,Omen,0.579,0.693,329,93,0,28,0.285,33.701,INTL
107841906194875387,nataNk,Nathan,Bocqueho,28,Duelists,Phoenix,0.801,0.746,453,142,3,84,0.202,50.38,INTL
109636687678347440,beyAz,Beyazıt,Körpe,28,Initiators,Breach,0.533,0.737,301,74,1,26,0.203,38.08,INTL
109636688908419096,K4DAVRA,Thomas,Johner,13,Controllers,Viper,0.751,0.669,207,65,2,25,0.255,46.324,INTL
106651731949743733,TakaS,Jonathan,Paupard,28,Duelists,Raze,0.716,0.77,404,121,0,91,0.24,41.611,INTL
108695542868559528,Haodong,Haodong,Guo,15,Controllers,Viper,0.486,0.786,146,36,0,23,0.197,30.454,"CN, INTL"
109760641595572859,Egoist,Javier,Chua,5,Sentinels,Cypher,0.782,0.711,93,36,2,10,0.283,65.764,INTL
106651728956649068,logaN,Logan,Corti,15,Sentinels,Killjoy,0.656,0.664,186,54,1,18,0.312,41.712,INTL
112097236546770587,PA1NT,Amarri,Lee Andre Peak,2,Duelists,Iso,0.475,0.861,20,3,0,4,0.303,30.366,INTL
106229913112600360,ShahZaM,Shahzeb ,Khan ,2,Initiators,Sova,0.548,0.693,23,5,0,3,0.139,31.667,INTL
